Merchant Name,Merchant ID,Store Name,Store ID,Updated On,Created On,Type,Category,Subcategory,Status,Transaction ID,Linked Transaction ID,Partner transaction ID 1,Partner transaction ID 2,Long Order ID,Short Order ID,Booking ID,Order Channel,Order Type,Payment Method,Receiving account / Source of fund,Terminal ID,Channel,Offer Type,Grab Fee (%),Points Multiplier,Points Issued,Settlement ID,Transfer Date,Amount,Tax on Order Value,Restaurant Packaging Charge,Non-Member Fee,Restaurant Service Charge,Offer,Discount (Merchant-Funded),Delivery Fee Discount (Merchant-Funded),Delivery Charge (Grab Online Store),Delivery Charge (Merchant Delivery),GrabExpress Delivery Service Fee,Net Sales,Net MDR,Tax on MDR,Grab Fee,Marketing success fee,Delivery Commission,Channel Commission,Order commission,Step-up commission,GrabKitchen Commission,GrabKitchen Other Commission,Withholding Tax,Total,Tax on MDR (%),Delivery Commission (%),Channel Commission (%),Order Commission (%),"Tax on GrabFood/GrabMart commission, adjustments, ads",Tax on Total GrabKitchen Commission,Cancellation Reason,Cancelled by,Reason for Refund,Description,Incident group,Incident alias,Customer refund Item,Appeal link,Appeal status
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,26 Jul 2026 6:01 PM,26 Jul 2026 5:21 PM,GrabFood,Payment ,,Transferred,34995281375,,,,0018063826-C8CTNE2DVT3WHE,GF-858,A-9KP7FVNGWKL7AV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SID1HKZRD6NH,27 Jul 2026 3:09 AM,70000,0,0,,0,,0,0,,0,0,70000,,,,0,,,-14000,0,0,0,0,56000,,,,,-1387.39,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,26 Jul 2026 4:10 PM,26 Jul 2026 3:50 PM,GrabFood,Payment ,,Transferred,34993476006,,,,001062396774-C8CTLZBEWCMFGA,GF-379,A-9KOV4ESWWW7TAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SID1HKZRD6NH,27 Jul 2026 3:09 AM,86000,0,0,,0,,0,0,,0,0,86000,,,,0,,,-17200,0,0,0,0,68800,,,,,-1704.5,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,26 Jul 2026 4:06 PM,26 Jul 2026 3:31 PM,GrabFood,Payment ,,Transferred,34993410086,,,,001770104631-C8CTLUX2CKKWL2,GF-722,A-9KOTDE4GWDTNAV,GrabFood app & web,Auto-Paid,Cash,,,,,,,,SID1HKZRD6NH,27 Jul 2026 3:09 AM,72000,0,0,,0,,0,0,,0,0,72000,,,,0,,,-14400,0,0,0,0,57600,,,,,-931.53,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,26 Jul 2026 3:08 PM,26 Jul 2026 2:37 PM,GrabFood,Payment ,,Transferred,34992536483,,,,0019086688-C8CTLFC1FEWJBE,GF-231,A-9KOOF6CWW2MVAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SID1HKZRD6NH,27 Jul 2026 3:09 AM,29000,0,0,,0,,0,0,,0,0,29000,,,,0,,,-5800,0,0,0,0,23200,,,,,-574.77,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,25 Jul 2026 9:33 PM,25 Jul 2026 9:20 PM,GrabFood,,,Cancelled,,,,,0019389869-C8CKUEVZEEJ2LE,GF-270,A-9KLPIX5WWH2JAV,,Not Paid,Cashless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Kami tutup sekarang,Merchant,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,24 Jul 2026 7:36 PM,24 Jul 2026 6:53 PM,GrabFood,Payment ,,Transferred,34961633830,,,,00174315529-C8CJVTBZJZC2NA,GF-573,A-9KH88K9GX9WCAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SID3A9FEJY8T,25 Jul 2026 3:15 AM,71000,0,0,,0,,0,0,,0,0,71000,,,,0,,,-14200,0,0,0,0,56800,,,,,-1407.21,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,24 Jul 2026 6:48 PM,24 Jul 2026 6:24 PM,GrabFood,Payment ,,Transferred,34960591533,,,,001754829289-C8CJVJWWKB2YJE,GF-919,A-9KH5IHKGW4VMAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SID3A9FEJY8T,25 Jul 2026 3:15 AM,57000,0,0,,0,,0,0,,0,0,57000,,,,0,,,-11400,0,0,0,0,45600,,,,,-1129.73,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,23 Jul 2026 7:48 PM,23 Jul 2026 7:17 PM,GrabFood,Payment ,,Transferred,34943950331,,,,00147661348-C8CJBEBBRLN1DA,GF-782,A-9KD6HGPGX8SSAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDPASH7PMT0,24 Jul 2026 3:12 AM,39000,0,0,,0,,0,0,,0,0,39000,,,,0,,,-7800,0,0,0,0,31200,,,,,-772.97,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,23 Jul 2026 5:32 PM,23 Jul 2026 4:39 PM,GrabFood,Payment ,,Transferred,34941185268,,,,0013246170-C8CHWFMAALCXAA,GF-967,A-9KCO3GSWXX6IAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDPASH7PMT0,24 Jul 2026 3:12 AM,230000,0,0,,0,,0,0,,0,0,230000,,,,0,,,-46000,0,0,0,0,184000,,,,,-4558.56,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,22 Jul 2026 8:35 PM,22 Jul 2026 8:10 PM,GrabFood,Payment ,,Transferred,34927447534,,,,00166229935-C8CHEZBBLLBTCX,GF-356,A-9K97JWEWWQKKAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDZ6WBNIKT8,23 Jul 2026 3:10 AM,72000,0,0,,0,,0,0,,0,0,72000,,,,0,,,-14400,0,0,0,0,57600,,,,,-11,0,,,,,,,,,
