Merchant Name,Merchant ID,Store Name,Store ID,Updated On,Created On,Type,Category,Subcategory,Status,Transaction ID,Linked Transaction ID,Partner transaction ID 1,Partner transaction ID 2,Long Order ID,Short Order ID,Booking ID,Order Channel,Order Type,Payment Method,Receiving account / Source of fund,Terminal ID,Channel,Offer Type,Grab Fee (%),Points Multiplier,Points Issued,Settlement ID,Transfer Date,Amount,Tax on Order Value,Restaurant Packaging Charge,Non-Member Fee,Restaurant Service Charge,Offer,Discount (Merchant-Funded),Delivery Fee Discount (Merchant-Funded),Delivery Charge (Grab Online Store),Delivery Charge (Merchant Delivery),GrabExpress Delivery Service Fee,Net Sales,Net MDR,Tax on MDR,Grab Fee,Marketing success fee,Delivery Commission,Channel Commission,Order commission,Step-up commission,GrabKitchen Commission,GrabKitchen Other Commission,Withholding Tax,Total,Tax on MDR (%),Delivery Commission (%),Channel Commission (%),Order Commission (%),"Tax on GrabFood/GrabMart commission, adjustments, ads",Tax on Total GrabKitchen Commission,Cancellation Reason,Cancelled by,Reason for Refund,Description,Incident group,Incident alias,Customer refund Item,Appeal link,Appeal status
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,18 Jul 2026 7:21 PM,18 Jul 2026 6:59 PM,GrabFood,Payment ,,Transferred,34856686996,,,,001744046506-C8CDRZNJHAKFA2,GF-537,A-9JOHPA6W2XIDAV,GrabFood app & web,Auto-Paid,Cash,,,,,,,,SIDUGJRK71A7,19 Jul 2026 3:29 AM,119000,0,0,,0,,0,0,,0,0,119000,,,,0,,,-23800,0,0,0,0,95200,,,,,-376.58,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,18 Jul 2026 7:06 PM,18 Jul 2026 6:34 PM,GrabFood,Payment ,,Transferred,34856392495,,,,001365806493-C8CDRUC1GK4UAA,GF-254,A-9JOFEHTWWEGPAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDUGJRK71A7,19 Jul 2026 3:29 AM,107000,0,0,,0,,0,0,,0,0,107000,,,,0,,,-21400,0,0,0,0,85600,,,,,-138.74,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,18 Jul 2026 6:48 PM,18 Jul 2026 6:29 PM,GrabFood,Payment ,,Transferred,34856016827,,,,001277619719-C8CDRTNUVCACAA,GF-122,A-9JOF24IWX2XTAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDUGJRK71A7,19 Jul 2026 3:29 AM,108000,0,0,,0,,0,0,,0,0,108000,,,,0,,,-21600,0,0,0,0,86400,,,,,-158.56,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,18 Jul 2026 6:29 PM,18 Jul 2026 6:15 PM,GrabFood,Payment ,,Transferred,34855612539,,,,001046646915-C8CDRN2YV6UHMA,GF-425,A-9JODMQIGW2VRAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDUGJRK71A7,19 Jul 2026 3:29 AM,45000,0,0,,0,,0,0,,0,0,45000,,,,0,,,-9000,0,0,0,0,36000,,,,,-11,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,18 Jul 2026 6:26 PM,18 Jul 2026 6:04 PM,GrabFood,Payment ,,Transferred,34855561437,,,,00133417338-C8CDRKXGHFCAC2,GF-376,A-9JOCO2QGWA9QAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDUGJRK71A7,19 Jul 2026 3:29 AM,138000,0,0,,0,,0,0,,0,0,138000,,,,0,,,-27600,0,0,0,0,110400,,,,,-753.15,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,18 Jul 2026 6:12 PM,18 Jul 2026 5:49 PM,GrabFood,Payment ,,Transferred,34855299062,,,,001426476260-C8CDRF6FR2X3RX,GF-611,A-9JOBC3JWWAVVAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDUGJRK71A7,19 Jul 2026 3:29 AM,33000,0,0,,0,,0,0,,0,0,33000,,,,0,,,-6600,0,0,0,0,26400,,,,,-11,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,18 Jul 2026 6:01 PM,18 Jul 2026 5:47 PM,GrabFood,Payment ,,Transferred,34855089936,,,,001763608695-C8CDRFV3JT3AJ2,GF-003,A-9JOB5U6WWQBTAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDUGJRK71A7,19 Jul 2026 3:29 AM,51000,0,0,,0,,0,0,,0,0,51000,,,,0,,,-10200,0,0,0,0,40800,,,,,-1010.81,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,18 Jul 2026 3:37 PM,18 Jul 2026 3:25 PM,GrabFood,Payment ,,Transferred,34852775931,,,,00139927614-C8CDNNL1SFMWEN,GF-469,A-9JNU6QCGWSBBAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDUGJRK71A7,19 Jul 2026 3:29 AM,72000,0,0,,0,,0,0,,0,0,72000,,,,0,,,-14400,0,0,0,0,57600,,,,,-11,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Kota Wisata Cibubur,8d1ba9d5-c0ef-4f05-a3aa-8e9c2b3d853a,18 Jul 2026 2:32 PM,18 Jul 2026 2:13 PM,GrabFood,Payment ,,Transferred,34851707277,,,,001292483236-C8CDMB6FGKBFJA,GF-601,A-9JNNHAEWWAVVAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDUGJRK71A7,19 Jul 2026 3:29 AM,45000,0,0,,0,,0,0,,0,0,45000,,,,0,,,-9000,0,0,0,0,36000,,,,,-11,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Empang,c7bb6c82-527a-457c-9472-fa22669e0b46,18 Jul 2026 8:43 PM,18 Jul 2026 7:50 PM,GrabFood,Payment ,,Transferred,34858245181,,,,001023976351-C8CDSEATL6B3E6,GF-943,A-9JOMCSAWX2CDAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDAHURYZVDH,19 Jul 2026 2:58 AM,51000,0,0,,0,,-16116,0,,0,0,34884,,,,0,,,-6976.8,0,0,0,0,27907.2,,,,,-266.85,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Empang,c7bb6c82-527a-457c-9472-fa22669e0b46,18 Jul 2026 8:28 PM,18 Jul 2026 8:08 PM,GrabFood,Payment ,,Transferred,34857990069,,,,001167748487-C8CDTAKZNEVWLJ,GF-648,A-9JOO3ROGWX7NAV,GrabFood app & web,Auto-Paid,Cash,,,,,,,,SIDAHURYZVDH,19 Jul 2026 2:58 AM,39000,0,0,,0,,-10350,0,,0,0,28650,,,,0,,,-5730,0,0,0,0,22920,,,,,-107.03,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Empang,c7bb6c82-527a-457c-9472-fa22669e0b46,18 Jul 2026 8:28 PM,18 Jul 2026 8:11 PM,GrabFood,Payment ,,Transferred,34857982399,,,,001295292646-C8CDTAWYG73CL2,GF-679,A-9JOOAKIGWEGPAV,GrabFood app & web,Auto-Paid,Cash,,,,,,,,SIDAHURYZVDH,19 Jul 2026 2:58 AM,39000,0,0,,0,,-10350,0,,0,0,28650,,,,0,,,-5730,0,0,0,0,22920,,,,,-11,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Empang,c7bb6c82-527a-457c-9472-fa22669e0b46,18 Jul 2026 8:02 PM,18 Jul 2026 7:36 PM,GrabFood,Payment ,,Transferred,34857515239,,,,001348372955-C8CDSATFL6W1JX,GF-186,A-9JOL5IJGW5GSAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDAHURYZVDH,19 Jul 2026 2:58 AM,51000,0,0,,0,,-16116,0,,0,0,34884,,,,0,,,-6976.8,0,0,0,0,27907.2,,,,,-266.85,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Empang,c7bb6c82-527a-457c-9472-fa22669e0b46,18 Jul 2026 7:37 PM,18 Jul 2026 6:56 PM,GrabFood,Payment ,,Transferred,34857021153,,,,001260636792-C8CDRY5KAF2DHE,GF-434,A-9JOHEJEWXEXFAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDAHURYZVDH,19 Jul 2026 2:58 AM,92000,0,0,,0,,-29072,0,,0,0,62928,,,,0,,,-12585.6,0,0,0,0,50342.4,,,,,-481.38,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Empang,c7bb6c82-527a-457c-9472-fa22669e0b46,18 Jul 2026 6:12 PM,18 Jul 2026 5:44 PM,GrabFood,Payment ,,Transferred,34855294630,,,,001494657019-C8CDRFDTUE31VE,GF-689,A-9JOASNJGWEGPAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDAHURYZVDH,19 Jul 2026 2:58 AM,102000,0,0,,0,,-40290,0,,0,0,61710,,,,0,,,-12342,0,0,0,0,49368,,,,,-161.73,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Empang,c7bb6c82-527a-457c-9472-fa22669e0b46,18 Jul 2026 6:05 PM,18 Jul 2026 5:48 PM,GrabFood,Payment ,,Transferred,34855170288,,,,001881200572-C8CDRF2CVNCEDA,GF-102,A-9JOB825GX2CDAV,GrabFood app & web,Auto-Paid,Cash,,,,,,,,SIDAHURYZVDH,19 Jul 2026 2:58 AM,46000,0,0,,0,,-14536,0,,0,0,31464,,,,0,,,-6292.8,0,0,0,0,25171.2,,,,,-240.69,0,,,,,,,,,
Suka Shawarma - ABDUL KADIR,717f3bb7-c5c8-4bdf-8569-efbada64e02d,Suka Shawarma - Empang,c7bb6c82-527a-457c-9472-fa22669e0b46,18 Jul 2026 5:17 PM,18 Jul 2026 4:36 PM,GrabFood,Payment ,,Transferred,34854339602,,,,00169683732-C8CDN66ZPB2XAJ,GF-053,A-9JO4LPLGWHCVAV,GrabFood app & web,Auto-Paid,Cashless,,,,,,,,SIDAHURYZVDH,19 Jul 2026 2:58 AM,90000,0,0,,0,,-28440,0,,0,0,61560,,,,0,,,-12312,0,0,0,0,49248,,,,,-470.92,0,,,,,,,,,
